sample_name,consensus_cluster,reference_cluster,reference_color,broad_class,subclass,merged_cluster_smFISH,merged_cluster_ISS
LS-15371_S28_E1-50,cl17_e147_Gng12_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15371_S29_E1-50,cl156_e35_Gpr139_L6_CT,VISp L6 CT Gpr139,#74A0FF,Ex,L6 PT,L6 PT,VISp L6 CT Gpr139
LS-15371_S30_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15371_S31_E1-50,cl81_e63_Msl2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S32_E1-50,cl48_e91_Csgalnact1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S33_E1-50,cl218_e22_P4ha3_L6_IT,VISp L6 IT Marcksl1,#96E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Marcksl1
LS-15371_S34_E1-50,cl143_e38_Tmem136_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15371_S37_E1-50,cl76_e66_Pou2f2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S39_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S40_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S41_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15371_S42_E1-50,cl150_e36_Car3_L6_IT,VISp L6 IT Car3,#5100FF,Ex,L6 IT,L6 IT_2,VISp L6 IT Car3
LS-15371_S43_E1-50,cl17_e147_Gng12_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15371_S45_E1-50,cl27_e121_Gadd45a_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15371_S47_E1-50,cl17_e147_Gng12_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15371_S48_E1-50,cl76_e66_Pou2f2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S49_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S50_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S51_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S54_E1-50,cl81_e63_Msl2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S56_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15371_S58_E1-50,cl187_e26_Teddm2_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15371_S59_E1-50,cl150_e36_Car3_L6_IT,VISp L6 IT Car3,#5100FF,Ex,L6 IT,L6 IT_2,VISp L6 IT Car3
LS-15371_S60_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15371_S62_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S64_E1-50,cl112_e48_Slc22a1_L6_IT,VISp L6 IT Marcksl1,#96E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Marcksl1
LS-15371_S68_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15371_S70_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15371_S71_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
